GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,AccountGetQuotaParams,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionLimitPredictionDetails,0,30,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionPermissionsLocationsApplyParams,0,9,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionsStopRemoteControlParams,0,9,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionLimitPredictionUnavailableReason,6,51,1,3,1,7,1,5,0,4
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionScheduleApi,138,12,0,0,21,5,9,2,9,2
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionVisibilityApi,0,40,0,0,0,9,0,4,0,4
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionCanvasListParams,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,AgentRegistrySpawnRegistryTimeout,22,0,0,0,7,0,6,0,6,0
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionMetadataContextInfoResult,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SandboxConfigUserPolicyExperimentalSeatbelt,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,ServerPluginsApi,49,12,0,0,7,4,7,1,7,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,RpcCaller,16,23,2,2,3,3,3,2,1,2
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionPermissionsApi,128,76,0,0,20,15,8,4,8,4
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionUsageGetMetricsResult,0,36,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SendMode,6,51,1,3,1,7,1,5,0,4
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionFsSqliteExistsParams,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,AdaptiveThinkingSupport,6,58,1,3,1,8,1,5,0,4
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionEventLogApi,46,30,0,0,7,8,3,3,3,3
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,InstalledPlugin,0,24,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SlashCommandInfo,0,27,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,DebugCollectLogsSource,6,65,1,3,1,9,1,5,0,4
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,AgentRegistryLiveTargetEntryStatus,6,65,1,3,1,9,1,5,0,4
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionNameSetAutoResult,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,PermissionsSetApproveAllSource,6,65,1,3,1,9,1,5,0,4
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionFsSqliteTransactionErrorClass,6,58,1,3,1,8,1,5,0,4
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,ShellInitProfile,6,51,1,3,1,7,1,5,0,4
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,UserSettingsGetResult,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionPermissionsPathsListResult,0,9,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionProviderAddParams,0,12,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionPermissionsConfigureResult,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionPermissionsPathsAddResult,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionsStartRemoteControlResult,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionAgentApi,4,83,1,1,0,15,1,8,0,8
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionMetadataSetWorkingDirectoryResult,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,EventsCursorStatus,6,51,1,3,1,7,1,5,0,4
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionMcpAppsListToolsResult,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionWorkspacesListCheckpointsParams,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionMcpAppsCallToolParams,0,18,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionSettingsJobSnapshot,0,12,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionMcpConfigureGitHubResult,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,ProviderConfigTransport,6,51,1,3,1,7,1,5,0,4
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionWorkspacesEnsureResult.SessionWorkspacesEnsureResultWorkspace,54,0,0,0,1,0,1,0,1,0
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionMcpCancelSamplingExecutionParams,0,9,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,RemoteSessionMode,6,58,1,3,1,8,1,5,0,4
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionOpenOptionsAdditionalContentExclusionPolicy,0,12,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionTasksRemoveParams,0,9,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,CanvasActionInvokeParams,0,27,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,FactoryExecuteParams,0,18,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,FactoryRunResult,0,24,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,InstructionsDiscoverParams,0,9,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionPermissionsPathsUpdatePrimaryParams,0,9,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,Verbosity,6,58,1,3,1,8,1,5,0,4
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionHistoryPreviewRewindResult,0,15,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,McpAppsHostContextDetailsAvailableDisplayMode,6,58,1,3,1,8,1,5,0,4
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionPermissionsLocationsApi,54,12,0,0,9,5,3,2,3,2
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionMcpHeadersHandlePendingHeadersRefreshRequestResult,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionSettingsSnapshotParams,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,CanvasAction,0,12,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionFsSetProviderResult,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,ServerUserApi,0,12,0,0,0,4,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionHistoryRewindResult,0,18,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,OptionsUpdateAdditionalContentExclusionPolicyRuleSource,0,9,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionUiUnregisterDirectAutoModeSwitchHandlerResult,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionQueueBeginDeferredIdleDrainParams,0,9,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionFsWriteFileParams,0,15,0,0,0,1,0,1,0,1
